Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilman lämpötila (degC)
2019,3,31,00:00,UTC,-2.5
2019,3,31,00:10,UTC,-3
2019,3,31,00:20,UTC,-3.3
2019,3,31,00:30,UTC,-4
2019,3,31,00:40,UTC,-3.9
2019,3,31,00:50,UTC,-3.9
2019,3,31,01:00,UTC,-3.8
2019,3,31,01:10,UTC,-4.1
2019,3,31,01:20,UTC,-4.8
2019,3,31,01:30,UTC,-4.6
2019,3,31,01:40,UTC,-4.4
2019,3,31,01:50,UTC,-4.3
2019,3,31,02:00,UTC,-3.9
2019,3,31,02:10,UTC,-3.8
2019,3,31,02:20,UTC,-3.8
2019,3,31,02:30,UTC,-3.5
2019,3,31,02:40,UTC,-3.4
2019,3,31,02:50,UTC,-3.3
2019,3,31,03:00,UTC,-3.2
2019,3,31,03:10,UTC,-3
2019,3,31,03:20,UTC,-2.9
2019,3,31,03:30,UTC,-2.9
2019,3,31,03:40,UTC,-3
2019,3,31,03:50,UTC,-3.1
2019,3,31,04:00,UTC,-3.1
2019,3,31,04:10,UTC,-3.1
2019,3,31,04:20,UTC,-2.9
2019,3,31,04:30,UTC,-2.8
2019,3,31,04:40,UTC,-2.7
2019,3,31,04:50,UTC,-2.6
2019,3,31,05:00,UTC,-2.5
2019,3,31,05:10,UTC,-2.3
2019,3,31,05:20,UTC,-2.2
2019,3,31,05:30,UTC,-2.1
2019,3,31,05:40,UTC,-1.8
2019,3,31,05:50,UTC,-1.6
2019,3,31,06:00,UTC,-1.4
2019,3,31,06:10,UTC,-1.3
2019,3,31,06:20,UTC,-1.1
2019,3,31,06:30,UTC,-1.1
2019,3,31,06:40,UTC,-1
2019,3,31,06:50,UTC,-1
2019,3,31,07:00,UTC,-0.7
2019,3,31,07:10,UTC,-0.6
2019,3,31,07:20,UTC,-0.3
2019,3,31,07:30,UTC,-0.4
2019,3,31,07:40,UTC,-0.1
2019,3,31,07:50,UTC,-0.1
2019,3,31,08:00,UTC,0.4
2019,3,31,08:10,UTC,0.3
2019,3,31,08:20,UTC,0.2
2019,3,31,08:30,UTC,0.3
2019,3,31,08:40,UTC,0.7
2019,3,31,08:50,UTC,0.3
2019,3,31,09:00,UTC,0.5
2019,3,31,09:10,UTC,0.6
2019,3,31,09:20,UTC,0.4
2019,3,31,09:30,UTC,1.1
2019,3,31,09:40,UTC,0.9
2019,3,31,09:50,UTC,0.7
2019,3,31,10:00,UTC,0.5
2019,3,31,10:10,UTC,0.8
2019,3,31,10:20,UTC,0.6
2019,3,31,10:30,UTC,0.6
2019,3,31,10:40,UTC,0.7
2019,3,31,10:50,UTC,0.8
2019,3,31,11:00,UTC,0.8
2019,3,31,11:10,UTC,0.7
2019,3,31,11:20,UTC,0.6
2019,3,31,11:30,UTC,1
2019,3,31,11:40,UTC,1.2
2019,3,31,11:50,UTC,1
2019,3,31,12:00,UTC,0.9
2019,3,31,12:10,UTC,1.2
2019,3,31,12:20,UTC,1.4
2019,3,31,12:30,UTC,1.5
2019,3,31,12:40,UTC,1.5
2019,3,31,12:50,UTC,1.5
2019,3,31,13:00,UTC,1.6
2019,3,31,13:10,UTC,0.8
2019,3,31,13:20,UTC,1.5
2019,3,31,13:30,UTC,1.6
2019,3,31,13:40,UTC,1.4
2019,3,31,13:50,UTC,1.4
2019,3,31,14:00,UTC,1.7
2019,3,31,14:10,UTC,1.2
2019,3,31,14:20,UTC,1.1
2019,3,31,14:30,UTC,1.1
2019,3,31,14:40,UTC,1
2019,3,31,14:50,UTC,1
2019,3,31,15:00,UTC,1.1
2019,3,31,15:10,UTC,1
2019,3,31,15:20,UTC,0.9
2019,3,31,15:30,UTC,0.9
2019,3,31,15:40,UTC,1.2
2019,3,31,15:50,UTC,1.3
2019,3,31,16:00,UTC,1.3
2019,3,31,16:10,UTC,1.5
2019,3,31,16:20,UTC,1.7
2019,3,31,16:30,UTC,1.7
2019,3,31,16:40,UTC,1.7
2019,3,31,16:50,UTC,1.7
2019,3,31,17:00,UTC,1.6
2019,3,31,17:10,UTC,1.4
2019,3,31,17:20,UTC,1
2019,3,31,17:30,UTC,0.7
2019,3,31,17:40,UTC,0.6
2019,3,31,17:50,UTC,0.6
2019,3,31,18:00,UTC,0.4
2019,3,31,18:10,UTC,0.3
2019,3,31,18:20,UTC,0.2
2019,3,31,18:30,UTC,0
2019,3,31,18:40,UTC,-0.3
2019,3,31,18:50,UTC,-0.6
2019,3,31,19:00,UTC,-0.9
2019,3,31,19:10,UTC,-1.1
2019,3,31,19:20,UTC,-1.4
2019,3,31,19:30,UTC,-1.6
2019,3,31,19:40,UTC,-1.7
2019,3,31,19:50,UTC,-1.9
2019,3,31,20:00,UTC,-2.5
2019,3,31,20:10,UTC,-2.9
2019,3,31,20:20,UTC,-3.4
2019,3,31,20:30,UTC,-3.5
2019,3,31,20:40,UTC,-2.6
2019,3,31,20:50,UTC,-3
2019,3,31,21:00,UTC,-3.5
2019,3,31,21:10,UTC,-3.9
2019,3,31,21:20,UTC,-4.2
2019,3,31,21:30,UTC,-4.5
2019,3,31,21:40,UTC,-4.8
2019,3,31,21:50,UTC,-5.1
2019,3,31,22:00,UTC,-5.2
2019,3,31,22:10,UTC,-5.2
2019,3,31,22:20,UTC,-5.5
2019,3,31,22:30,UTC,-5.7
2019,3,31,22:40,UTC,-5.9
2019,3,31,22:50,UTC,-5.8
2019,3,31,23:00,UTC,-5.9
2019,3,31,23:10,UTC,-5.8
2019,3,31,23:20,UTC,-5.8
2019,3,31,23:30,UTC,-5.5
2019,3,31,23:40,UTC,-4.2
2019,3,31,23:50,UTC,-2.7
2019,4,1,00:00,UTC,-2
2019,4,1,00:10,UTC,-1.5
2019,4,1,00:20,UTC,-1.1
2019,4,1,00:30,UTC,-1.2
2019,4,1,00:40,UTC,-1.2
2019,4,1,00:50,UTC,-1.3
2019,4,1,01:00,UTC,-1.4
2019,4,1,01:10,UTC,-1.4
2019,4,1,01:20,UTC,-1.3
2019,4,1,01:30,UTC,-1.2
2019,4,1,01:40,UTC,-1.3
2019,4,1,01:50,UTC,-1.4
2019,4,1,02:00,UTC,-1.5
2019,4,1,02:10,UTC,-1.3
2019,4,1,02:20,UTC,-1.5
2019,4,1,02:30,UTC,-1.5
2019,4,1,02:40,UTC,-1.7
2019,4,1,02:50,UTC,-2
2019,4,1,03:00,UTC,-2.2
2019,4,1,03:10,UTC,-2.3
2019,4,1,03:20,UTC,-2.4
2019,4,1,03:30,UTC,-2.4
2019,4,1,03:40,UTC,-2.5
2019,4,1,03:50,UTC,-2.6
2019,4,1,04:00,UTC,-2.6
2019,4,1,04:10,UTC,-2.5
2019,4,1,04:20,UTC,-2.5
2019,4,1,04:30,UTC,-2.5
2019,4,1,04:40,UTC,-2.4
2019,4,1,04:50,UTC,-2.5
2019,4,1,05:00,UTC,-2.7
2019,4,1,05:10,UTC,-2.6
2019,4,1,05:20,UTC,-2.7
2019,4,1,05:30,UTC,-2.7
2019,4,1,05:40,UTC,-2.5
2019,4,1,05:50,UTC,-1.9
2019,4,1,06:00,UTC,-1.3
2019,4,1,06:10,UTC,-1.2
2019,4,1,06:20,UTC,-1.4
2019,4,1,06:30,UTC,-1.6
2019,4,1,06:40,UTC,-1.1
2019,4,1,06:50,UTC,-1
2019,4,1,07:00,UTC,-0.7
2019,4,1,07:10,UTC,-0.3
2019,4,1,07:20,UTC,-0.6
2019,4,1,07:30,UTC,
2019,4,1,07:40,UTC,
2019,4,1,07:50,UTC,
2019,4,1,08:00,UTC,0.2
2019,4,1,08:10,UTC,0.1
2019,4,1,08:20,UTC,0.5
2019,4,1,08:30,UTC,0.4
2019,4,1,08:40,UTC,0.8
2019,4,1,08:50,UTC,1.2
2019,4,1,09:00,UTC,1.2
2019,4,1,09:10,UTC,1.8
2019,4,1,09:20,UTC,1.9
2019,4,1,09:30,UTC,2.1
2019,4,1,09:40,UTC,2.5
2019,4,1,09:50,UTC,2.3
2019,4,1,10:00,UTC,2.9
2019,4,1,10:10,UTC,2.6
2019,4,1,10:20,UTC,2.7
2019,4,1,10:30,UTC,2.7
2019,4,1,10:40,UTC,3.3
2019,4,1,10:50,UTC,2.9
2019,4,1,11:00,UTC,3
2019,4,1,11:10,UTC,
2019,4,1,11:20,UTC,3.2
2019,4,1,11:30,UTC,3
2019,4,1,11:40,UTC,3.2
2019,4,1,11:50,UTC,3.4
2019,4,1,12:00,UTC,3.2
2019,4,1,12:10,UTC,2.9
2019,4,1,12:20,UTC,3.3
2019,4,1,12:30,UTC,3.3
2019,4,1,12:40,UTC,2.4
2019,4,1,12:50,UTC,2.2
2019,4,1,13:00,UTC,1.7
2019,4,1,13:10,UTC,1.7
2019,4,1,13:20,UTC,1.6
2019,4,1,13:30,UTC,1.3
2019,4,1,13:40,UTC,1.1
2019,4,1,13:50,UTC,1
2019,4,1,14:00,UTC,0.9
2019,4,1,14:10,UTC,0.7
2019,4,1,14:20,UTC,0.5
2019,4,1,14:30,UTC,0.4
2019,4,1,14:40,UTC,0.5
2019,4,1,14:50,UTC,0.6
2019,4,1,15:00,UTC,0.6
2019,4,1,15:10,UTC,0.5
2019,4,1,15:20,UTC,0.5
2019,4,1,15:30,UTC,0.6
2019,4,1,15:40,UTC,0.7
2019,4,1,15:50,UTC,0.7
2019,4,1,16:00,UTC,0.8
2019,4,1,16:10,UTC,0.9
2019,4,1,16:20,UTC,0.9
2019,4,1,16:30,UTC,0.9
2019,4,1,16:40,UTC,0.9
2019,4,1,16:50,UTC,1
2019,4,1,17:00,UTC,1
2019,4,1,17:10,UTC,1
2019,4,1,17:20,UTC,0.9
2019,4,1,17:30,UTC,0.8
2019,4,1,17:40,UTC,0.6
2019,4,1,17:50,UTC,0.8
2019,4,1,18:00,UTC,0.6
2019,4,1,18:10,UTC,0.6
2019,4,1,18:20,UTC,0.4
2019,4,1,18:30,UTC,0.2
2019,4,1,18:40,UTC,0.1
2019,4,1,18:50,UTC,0
2019,4,1,19:00,UTC,-0.4
2019,4,1,19:10,UTC,-0.2
2019,4,1,19:20,UTC,-0.1
2019,4,1,19:30,UTC,0.3
2019,4,1,19:40,UTC,0.2
2019,4,1,19:50,UTC,0
2019,4,1,20:00,UTC,-0.2
2019,4,1,20:10,UTC,0.1
2019,4,1,20:20,UTC,0.8
2019,4,1,20:30,UTC,0.9
2019,4,1,20:40,UTC,1.3
2019,4,1,20:50,UTC,1.5
2019,4,1,21:00,UTC,1.7
2019,4,1,21:10,UTC,1.5
2019,4,1,21:20,UTC,1.4
2019,4,1,21:30,UTC,1.3
2019,4,1,21:40,UTC,1.1
2019,4,1,21:50,UTC,1.3
2019,4,1,22:00,UTC,1.1
2019,4,1,22:10,UTC,1.1
2019,4,1,22:20,UTC,1
2019,4,1,22:30,UTC,0.8
2019,4,1,22:40,UTC,0.8
2019,4,1,22:50,UTC,0.5
2019,4,1,23:00,UTC,0.4
2019,4,1,23:10,UTC,0
2019,4,1,23:20,UTC,0
2019,4,1,23:30,UTC,-0.2
2019,4,1,23:40,UTC,-0.1
2019,4,1,23:50,UTC,-0.1
2019,4,2,00:00,UTC,-0.2